league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
ITA-Serie A,2324,Milan,Antonio Mirante,ITA,GK,40,1983,2,2,177,2.0,3,1.53,8,5,62.5,0,1,1,0,0.0,0,0,0,0,
ITA-Serie A,2324,Milan,Lapo Nava,ITA,GK,19,2004,1,0,3,0.0,1,30.0,2,1,50.0,0,0,0,0,,0,0,0,0,
ITA-Serie A,2324,Milan,Marco Sportiello,ITA,GK,31,1992,7,7,630,7.0,11,1.57,34,23,67.6,3,3,1,1,14.3,1,1,0,0,0.0
ITA-Serie A,2324,Milan,Mike Maignan,FRA,GK,28,1995,29,29,2609,29.0,34,1.17,121,87,71.9,19,5,5,11,37.9,7,7,0,0,0.0
ITA-Serie A,2324,Monza,Alessandro Sorrentino,ITA,GK,21,2002,7,5,548,6.1,16,2.63,32,16,50.0,0,1,4,0,0.0,4,4,0,0,0.0
ITA-Serie A,2324,Monza,Michele Di Gregorio,ITA,GK,26,1997,33,33,2872,31.9,35,1.1,155,124,77.4,11,11,11,12,36.4,5,3,2,0,40.0
ITA-Serie A,2324,Napoli,Alex Meret,ITA,GK,26,1997,31,31,2773,30.8,40,1.3,102,62,60.8,10,13,8,5,16.1,4,2,2,0,50.0
ITA-Serie A,2324,Napoli,Nikita Contini,ITA,GK,27,1996,1,0,17,0.2,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
ITA-Serie A,2324,Napoli,Pierluigi Gollini,ITA,GK,28,1995,7,7,630,7.0,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0,
ITA-Serie A,2324,Roma,Mile Svilar,SRB,GK,23,1999,15,15,1350,15.0,19,1.27,77,59,75.3,7,4,4,5,33.3,2,1,1,0,50.0
ITA-Serie A,2324,Roma,Rui Patrício,POR,GK,35,1988,23,23,2070,23.0,27,1.17,76,49,64.5,11,5,7,6,26.1,3,2,0,1,0.0
ITA-Serie A,2324,Salernitana,Benoît Costil,FRA,GK,36,1987,13,13,1170,13.0,29,2.23,68,39,57.4,2,3,8,1,7.7,3,3,0,0,0.0
ITA-Serie A,2324,Salernitana,Guillermo Ochoa,MEX,GK,38,1985,21,21,1890,21.0,44,2.1,112,74,60.7,0,6,15,1,4.8,7,7,0,0,0.0
ITA-Serie A,2324,Salernitana,Vincenzo Fiorillo,ITA,GK,33,1990,4,4,360,4.0,8,2.0,26,18,69.2,0,2,2,0,0.0,0,0,0,0,
ITA-Serie A,2324,Sassuolo,Alessio Cragno,ITA,GK,29,1994,3,3,270,3.0,7,2.33,15,8,53.3,1,1,1,0,0.0,1,1,0,0,0.0
ITA-Serie A,2324,Sassuolo,Andrea Consigli,ITA,GK,36,1987,35,35,3150,35.0,68,1.94,163,95,58.3,6,8,21,2,5.7,10,7,1,2,12.5
ITA-Serie A,2324,Torino,Luca Gemello,ITA,GK,23,2000,2,2,180,2.0,5,2.5,9,4,44.4,0,0,2,0,0.0,1,1,0,0,0.0
ITA-Serie A,2324,Torino,Vanja Milinković-Savić,SRB,GK,26,1997,36,36,3240,36.0,31,0.86,134,103,76.9,13,14,9,17,47.2,6,6,0,0,0.0
ITA-Serie A,2324,Udinese,Maduka Okoye,NGA,GK,23,1999,21,21,1890,21.0,25,1.19,90,65,72.2,5,8,8,4,19.0,3,3,0,0,0.0
ITA-Serie A,2324,Udinese,Marco Silvestri,ITA,GK,32,1991,17,17,1530,17.0,28,1.65,69,41,59.4,1,11,5,4,23.5,6,6,0,0,0.0
ITA-Serie A,2425,Atalanta,Juan Musso,ARG,GK,30,1994,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
ITA-Serie A,2425,Atalanta,Marco Carnesecchi,ITA,GK,24,2000,34,34,3060,34.0,34,1.0,132,98,74.2,19,7,8,13,38.2,2,2,0,0,0.0
ITA-Serie A,2425,Atalanta,Rui Patrício,POR,GK,36,1988,3,3,270,3.0,3,1.0,14,11,78.6,2,1,0,1,33.3,0,0,0,0,
ITA-Serie A,2425,Bologna,Federico Ravaglia,ITA,GK,24,1999,12,11,1056,11.7,14,1.19,24,10,41.7,5,2,4,4,36.4,1,1,0,0,0.0
ITA-Serie A,2425,Bologna,Łukasz Skorupski,POL,GK,33,1991,27,27,2364,26.3,33,1.26,83,51,60.2,11,12,4,8,29.6,2,1,1,0,50.0
ITA-Serie A,2425,Cagliari,Alen Sherri,ALB,GK,26,1997,7,7,621,6.9,11,1.59,31,20,64.5,1,2,4,1,14.3,0,0,0,0,
ITA-Serie A,2425,Cagliari,Elia Caprile,ITA,GK,22,2001,18,18,1620,18.0,22,1.22,68,46,67.6,5,4,9,5,27.8,1,1,0,0,0.0
ITA-Serie A,2425,Cagliari,Giuseppe Ciocci,ITA,GK,22,2002,1,0,9,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
ITA-Serie A,2425,Cagliari,Simone Scuffet,ITA,GK,28,1996,13,13,1170,13.0,23,1.77,56,33,58.9,3,3,7,1,7.7,5,5,0,0,0.0
ITA-Serie A,2425,Como,Emil Audero,IDN,GK,27,1997,8,8,720,8.0,18,2.25,35,17,48.6,2,2,4,0,0.0,4,4,0,0,0.0
ITA-Serie A,2425,Como,Jean Butez,FRA,GK,29,1995,19,18,1666,18.5,20,1.08,69,49,71.0,8,4,6,5,27.8,2,2,0,0,0.0
ITA-Serie A,2425,Como,Pepe Reina,ESP,GK,41,1982,12,12,1034,11.5,14,1.22,42,28,66.7,3,4,5,2,16.7,1,1,0,0,0.0
ITA-Serie A,2425,Empoli,Devis Vásquez,COL,GK,26,1998,32,32,2880,32.0,45,1.41,127,82,64.6,6,12,14,6,18.8,2,1,1,0,50.0
ITA-Serie A,2425,Empoli,Jacopo Seghetti,ITA,GK,19,2005,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Empoli,Marco Silvestri,ITA,GK,33,1991,5,5,450,5.0,11,2.2,27,16,59.3,0,1,4,0,0.0,0,0,0,0,
ITA-Serie A,2425,Fiorentina,David de Gea,ESP,GK,33,1990,35,35,3150,35.0,38,1.09,134,96,71.6,19,5,11,11,31.4,3,1,2,0,66.7
ITA-Serie A,2425,Fiorentina,Pietro Terracciano,ITA,GK,34,1990,3,3,270,3.0,3,1.0,14,10,78.6,0,3,0,1,33.3,0,0,0,0,
ITA-Serie A,2425,Genoa,Benjamin Siegrist,SUI,GK,32,1992,2,2,152,1.7,2,1.18,12,10,83.3,1,1,0,0,0.0,0,0,0,0,
ITA-Serie A,2425,Genoa,Daniele Sommariva,ITA,GK,27,1997,1,0,28,0.3,1,3.21,3,2,66.7,0,0,0,0,,0,0,0,0,
ITA-Serie A,2425,Genoa,Nicola Leali,ITA,GK,31,1993,29,29,2610,29.0,31,1.07,112,83,72.3,8,10,11,10,34.5,4,3,1,0,25.0
ITA-Serie A,2425,Genoa,Pierluigi Gollini,ITA,GK,29,1995,7,7,630,7.0,15,2.14,32,17,53.1,1,2,4,1,14.3,4,3,1,0,25.0
ITA-Serie A,2425,Hellas Verona,Lorenzo Montipò,ITA,GK,28,1996,36,36,3240,36.0,64,1.78,164,100,61.0,9,7,20,8,22.2,4,2,1,1,33.3
ITA-Serie A,2425,Hellas Verona,Simone Perilli,ITA,GK,29,1995,2,2,180,2.0,2,1.0,11,9,81.8,1,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Inter,Josep Martinez,ESP,GK,26,1998,5,5,450,5.0,3,0.6,15,12,80.0,4,1,0,3,60.0,0,0,0,0,
ITA-Serie A,2425,Inter,Yann Sommer,SUI,GK,35,1988,33,33,2970,33.0,32,0.97,116,84,72.4,20,8,5,13,39.4,4,3,1,0,25.0
ITA-Serie A,2425,Juventus,Mattia Perin,ITA,GK,31,1992,5,5,450,5.0,3,0.6,16,13,81.3,2,3,0,3,60.0,0,0,0,0,
ITA-Serie A,2425,Juventus,Michele Di Gregorio,ITA,GK,27,1997,33,33,2970,33.0,32,0.97,99,71,67.7,16,13,4,14,42.4,5,5,0,0,0.0
ITA-Serie A,2425,Lazio,Christos Mandas,GRE,GK,22,2001,9,9,810,9.0,7,0.78,27,20,74.1,3,5,1,4,44.4,0,0,0,0,
ITA-Serie A,2425,Lazio,Ivan Provedel,ITA,GK,30,1994,29,29,2610,29.0,42,1.45,95,53,55.8,15,6,8,5,17.2,4,4,0,0,0.0
ITA-Serie A,2425,Lecce,Wladimiro Falcone,ITA,GK,29,1995,38,38,3420,38.0,58,1.53,177,127,67.2,8,10,20,9,23.7,10,8,1,1,11.1
ITA-Serie A,2425,Milan,Marco Sportiello,ITA,GK,32,1992,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,
ITA-Serie A,2425,Milan,Mike Maignan,FRA,GK,29,1995,37,37,3294,36.6,41,1.12,139,98,70.5,17,9,11,13,35.1,2,1,1,0,50.0
ITA-Serie A,2425,Monza,Andrea Mazza,ITA,GK,20,2004,1,0,8,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
ITA-Serie A,2425,Monza,Semuel Pizzignacco,ITA,GK,22,2001,9,8,736,8.2,17,2.08,40,23,57.5,1,2,5,1,12.5,0,0,0,0,
ITA-Serie A,2425,Monza,Stefano Turati,ITA,GK,22,2001,30,30,2676,29.7,52,1.75,145,93,64.1,2,7,21,2,6.7,4,2,2,0,50.0
ITA-Serie A,2425,Napoli,Alex Meret,ITA,GK,27,1997,34,34,3005,33.4,25,0.75,84,59,70.2,21,9,4,17,50.0,4,1,2,1,66.7
ITA-Serie A,2425,Napoli,Elia Caprile,ITA,GK,22,2001,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,
ITA-Serie A,2425,Napoli,Simone Scuffet,ITA,GK,28,1996,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
ITA-Serie A,2425,Parma,Leandro Chichizola,ARG,GK,34,1990,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Parma,Zion Suzuki,JPN,GK,21,2002,36,36,3240,36.8,53,1.47,148,95,64.2,7,15,14,7,19.4,5,5,0,0,0.0
ITA-Serie A,2425,Roma,Mile Svilar,SRB,GK,24,1999,38,38,3420,38.0,35,0.92,153,118,77.1,20,9,9,16,42.1,4,4,0,0,0.0
ITA-Serie A,2425,Torino,Alberto Paleari,ITA,GK,31,1992,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2425,Torino,Vanja Milinković-Savić,SRB,GK,27,1997,37,37,3330,37.0,42,1.14,173,131,75.7,10,14,13,10,27.0,7,3,4,0,57.1
ITA-Serie A,2425,Udinese,Daniele Padelli,ITA,GK,38,1985,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
ITA-Serie A,2425,Udinese,Maduka Okoye,NGA,GK,24,1999,25,25,2250,25.0,40,1.6,113,73,64.6,6,4,15,4,16.0,5,4,0,1,0.0
ITA-Serie A,2425,Udinese,Razvan Sava,ROU,GK,22,2002,12,12,1080,12.0,16,1.33,54,38,70.4,5,4,3,4,33.3,3,3,0,0,0.0
ITA-Serie A,2425,Venezia,Filip Stankovic,SRB,GK,22,2002,16,16,1367,15.2,23,1.51,84,61,72.6,2,6,8,0,0.0,5,4,1,0,20.0
ITA-Serie A,2425,Venezia,Ionuț Radu,ROU,GK,27,1997,15,15,1350,15.0,18,1.2,63,47,71.4,2,7,6,4,26.7,3,3,0,0,0.0
ITA-Serie A,2425,Venezia,Jesse Joronen,FIN,GK,31,1993,8,7,703,7.8,15,1.92,42,27,64.3,1,1,5,2,28.6,3,3,0,0,0.0
GER-Bundesliga,2122,Arminia,Stefan Ortega,GER,GK,28,1992,33,33,2970,33.0,53,1.61,179,126,70.4,4,13,16,6,18.2,7,7,0,0,0.0
GER-Bundesliga,2122,Arminia,Stefanos Kapino,GRE,GK,27,1994,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
GER-Bundesliga,2122,Augsburg,Rafał Gikiewicz,POL,GK,33,1987,34,34,3060,34.0,56,1.65,159,103,64.8,10,8,16,9,26.5,5,5,0,0,0.0
GER-Bundesliga,2122,Bayern Munich,Christian Früchtl,GER,GK,21,2000,1,0,10,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
GER-Bundesliga,2122,Bayern Munich,Manuel Neuer,GER,GK,35,1986,28,28,2510,27.9,26,0.93,89,63,70.8,22,4,2,10,35.7,1,1,0,0,0.0
GER-Bundesliga,2122,Bayern Munich,Sven Ulreich,GER,GK,32,1988,6,6,540,6.0,11,1.83,24,13,54.2,2,1,3,1,16.7,1,1,0,0,0.0
GER-Bundesliga,2122,Bochum,Manuel Riemann,GER,GK,32,1988,31,31,2790,31.0,45,1.45,157,112,71.3,10,6,15,7,22.6,6,3,2,1,40.0
GER-Bundesliga,2122,Bochum,Michael Esser,GER,GK,33,1987,3,3,270,3.0,7,2.33,21,14,66.7,2,0,1,0,0.0,2,2,0,0,0.0
GER-Bundesliga,2122,Dortmund,Gregor Kobel,SUI,GK,23,1997,29,29,2565,28.5,39,1.37,113,74,65.5,20,3,6,7,24.1,3,3,0,0,0.0
GER-Bundesliga,2122,Dortmund,Marwin Hitz,SUI,GK,33,1987,5,4,405,4.5,12,2.67,26,14,53.8,1,0,3,0,0.0,2,2,0,0,0.0
GER-Bundesliga,2122,Dortmund,Roman Bürki,SUI,GK,30,1990,1,1,90,1.0,1,1.0,1,0,0.0,1,0,0,0,0.0,1,1,0,0,0.0
GER-Bundesliga,2122,Frankfurt,Diant Ramaj,GER,GK,19,2001,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
GER-Bundesliga,2122,Frankfurt,Jens Grahl,GER,GK,32,1988,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
GER-Bundesliga,2122,Frankfurt,Kevin Trapp,GER,GK,31,1990,32,32,2880,32.0,46,1.44,159,113,71.1,10,11,11,5,15.6,4,4,0,0,0.0
GER-Bundesliga,2122,Freiburg,Benjamin Uphoff,GER,GK,27,1993,2,2,180,2.0,7,3.5,12,5,41.7,0,1,1,0,0.0,0,0,0,0,
GER-Bundesliga,2122,Freiburg,Mark Flekken,NED,GK,28,1993,32,32,2880,32.0,39,1.22,142,103,72.5,15,9,8,10,31.3,2,2,0,0,0.0
GER-Bundesliga,2122,Gladbach,Tobias Sippel,GER,GK,33,1988,1,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
GER-Bundesliga,2122,Gladbach,Yann Sommer,SUI,GK,32,1988,33,33,2970,33.0,60,1.82,180,120,66.7,12,8,13,5,15.2,5,3,2,0,40.0
GER-Bundesliga,2122,Greuther Fürth,Andreas Linde,SWE,GK,28,1993,12,12,1080,12.0,24,2.0,63,39,61.9,1,5,6,3,25.0,1,1,0,0,0.0
GER-Bundesliga,2122,Greuther Fürth,Marius Funk,GER,GK,25,1996,8,8,720,8.0,30,3.75,56,26,46.4,0,0,8,0,0.0,2,2,0,0,0.0
GER-Bundesliga,2122,Greuther Fürth,Sascha Burchert,GER,GK,31,1989,14,14,1260,14.0,28,2.0,74,46,62.2,2,4,8,3,21.4,3,3,0,0,0.0
GER-Bundesliga,2122,Hertha BSC,Alexander Schwolow,GER,GK,29,1992,25,25,2175,24.2,51,2.11,123,72,58.5,7,5,13,4,16.0,5,5,0,0,0.0
GER-Bundesliga,2122,Hertha BSC,Marcel Lotka,POL,GK,20,2001,10,9,885,9.8,20,2.03,48,28,58.3,2,1,6,2,22.2,3,3,0,0,0.0
GER-Bundesliga,2122,Hoffenheim,Oliver Baumann,GER,GK,31,1990,33,33,2970,33.0,57,1.73,155,98,63.2,12,7,14,8,24.2,4,2,1,1,33.3
GER-Bundesliga,2122,Hoffenheim,Philipp Pentke,GER,GK,36,1985,1,1,90,1.0,3,3.0,7,4,57.1,1,0,0,0,0.0,0,0,0,0,
GER-Bundesliga,2122,Köln,Marvin Schwäbe,GER,GK,26,1995,21,21,1890,21.0,28,1.33,99,71,71.7,10,4,7,3,14.3,1,0,1,0,100.0
GER-Bundesliga,2122,Köln,Timo Horn,GER,GK,28,1993,13,13,1170,13.0,21,1.62,57,36,63.2,4,6,3,1,7.7,0,0,0,0,
GER-Bundesliga,2122,Leverkusen,Andrey Lunyov,RUS,GK,29,1991,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
GER-Bundesliga,2122,Leverkusen,Lennart Grill,GER,GK,22,1999,1,1,90,1.0,2,2.0,7,5,71.4,1,0,0,0,0.0,0,0,0,0,
GER-Bundesliga,2122,Leverkusen,Lukáš Hrádecký,FIN,GK,31,1989,32,32,2880,32.0,44,1.37,154,110,71.4,17,7,8,8,25.0,4,2,1,1,33.3
GER-Bundesliga,2122,Mainz 05,Finn Dahmen,GER,GK,23,1998,2,2,180,2.0,3,1.5,5,2,40.0,1,1,0,0,0.0,1,1,0,0,0.0
GER-Bundesliga,2122,Mainz 05,Robin Zentner,GER,GK,26,1994,32,32,2880,32.0,42,1.31,119,81,64.7,12,6,14,10,31.3,5,4,1,0,20.0
GER-Bundesliga,2122,RB Leipzig,Josep Martinez,ESP,GK,23,1998,1,1,90,1.0,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
GER-Bundesliga,2122,RB Leipzig,Philipp Tschauner,GER,GK,35,1985,1,0,3,0.0,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
GER-Bundesliga,2122,RB Leipzig,Péter Gulácsi,HUN,GK,31,1990,33,33,2967,33.0,34,1.03,112,78,69.6,17,7,9,10,30.3,3,3,0,0,0.0
GER-Bundesliga,2122,Stuttgart,Fabian Bredlow,GER,GK,26,1995,4,4,360,4.0,7,1.75,25,18,72.0,0,2,2,0,0.0,0,0,0,0,
GER-Bundesliga,2122,Stuttgart,Florian Müller,GER,GK,23,1997,30,30,2700,30.0,52,1.73,140,88,62.9,7,10,13,4,13.3,4,4,0,0,0.0
GER-Bundesliga,2122,Union Berlin,Andreas Luthe,GER,GK,34,1987,27,27,2430,27.0,39,1.44,107,68,63.6,11,7,9,6,22.2,2,2,0,0,0.0
GER-Bundesliga,2122,Union Berlin,Frederik Rønnow,DEN,GK,28,1992,7,7,630,7.0,5,0.71,19,14,73.7,5,2,0,2,28.6,0,0,0,0,
GER-Bundesliga,2122,Wolfsburg,Koen Casteels,BEL,GK,29,1992,28,28,2520,28.0,40,1.43,112,76,64.3,11,6,11,10,35.7,6,3,2,1,40.0
GER-Bundesliga,2122,Wolfsburg,Pavao Pervan,AUT,GK,33,1987,6,6,540,6.0,14,2.33,39,25,64.1,1,0,5,1,16.7,1,1,0,0,0.0
GER-Bundesliga,2223,Augsburg,Rafał Gikiewicz,POL,GK,34,1987,23,23,2070,23.0,41,1.78,137,96,70.1,8,3,12,5,21.7,4,1,2,1,66.7
GER-Bundesliga,2223,Augsburg,Tomáš Koubek,CZE,GK,29,1992,11,11,990,11.0,22,2.0,68,46,67.6,1,4,6,1,9.1,0,0,0,0,
GER-Bundesliga,2223,Bayern Munich,Manuel Neuer,GER,GK,36,1986,12,12,1080,12.0,11,0.92,44,33,75.0,7,4,1,4,33.3,2,2,0,0,0.0
GER-Bundesliga,2223,Bayern Munich,Sven Ulreich,GER,GK,33,1988,3,3,270,3.0,2,0.67,7,5,71.4,3,0,0,2,66.7,1,0,1,0,100.0
GER-Bundesliga,2223,Bayern Munich,Yann Sommer,SUI,GK,33,1988,19,19,1710,19.0,25,1.32,55,30,54.5,11,4,4,5,26.3,7,7,0,0,0.0
GER-Bundesliga,2223,Bochum,Manuel Riemann,GER,GK,33,1988,34,34,3060,34.0,72,2.12,189,127,61.9,10,5,19,5,14.7,14,8,3,3,27.3
GER-Bundesliga,2223,Dortmund,Alexander Meyer,GER,GK,31,1991,7,7,630,7.0,12,1.71,32,20,62.5,3,2,2,1,14.3,0,0,0,0,
GER-Bundesliga,2223,Dortmund,Gregor Kobel,SUI,GK,24,1997,27,27,2430,27.0,32,1.19,120,88,73.3,19,3,5,11,40.7,1,1,0,0,0.0
GER-Bundesliga,2223,Frankfurt,Diant Ramaj,GER,GK,20,2001,1,1,90,1.0,1,1.0,6,5,83.3,0,1,0,0,0.0,0,0,0,0,
GER-Bundesliga,2223,Frankfurt,Kevin Trapp,GER,GK,32,1990,33,33,2970,33.0,51,1.55,131,80,61.1,13,10,10,6,18.2,2,2,0,0,0.0
GER-Bundesliga,2223,Freiburg,Mark Flekken,NED,GK,29,1993,34,34,3060,34.0,44,1.29,148,108,70.3,17,8,9,13,38.2,6,5,0,1,0.0
GER-Bundesliga,2223,Gladbach,Jan Olschowsky,GER,GK,20,2001,4,4,360,4.0,11,2.75,31,20,64.5,1,1,2,0,0.0,1,1,0,0,0.0
GER-Bundesliga,2223,Gladbach,Jonas Omlin,SUI,GK,28,1994,15,15,1290,14.3,18,1.26,56,38,67.9,5,4,6,5,33.3,2,2,0,0,0.0
GER-Bundesliga,2223,Gladbach,Tobias Sippel,GER,GK,34,1988,6,5,510,5.7,12,2.12,33,21,63.6,1,1,3,1,20.0,1,1,0,0,0.0
GER-Bundesliga,2223,Gladbach,Yann Sommer,SUI,GK,33,1988,10,10,900,10.0,14,1.4,61,47,77.0,4,4,2,3,30.0,2,2,0,0,0.0
GER-Bundesliga,2223,Hertha BSC,Oliver Christensen,DEN,GK,23,1999,33,33,2970,33.0,68,2.06,159,96,57.2,6,8,19,3,9.1,6,5,1,0,16.7
GER-Bundesliga,2223,Hertha BSC,Tjark Ernst,GER,GK,19,2003,1,1,90,1.0,1,1.0,8,7,87.5,1,0,0,0,0.0,0,0,0,0,
GER-Bundesliga,2223,Hoffenheim,Oliver Baumann,GER,GK,32,1990,34,34,3060,34.0,57,1.68,163,106,65.0,10,6,18,5,14.7,3,2,0,1,0.0
GER-Bundesliga,2223,Köln,Marvin Schwäbe,GER,GK,27,1995,34,34,3060,34.0,54,1.59,127,77,57.5,10,12,12,6,17.6,5,4,1,0,20.0
GER-Bundesliga,2223,Leverkusen,Andrey Lunyov,RUS,GK,30,1991,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
GER-Bundesliga,2223,Leverkusen,Lukáš Hrádecký,FIN,GK,32,1989,33,33,2969,33.0,47,1.42,138,97,65.9,14,8,11,9,27.3,7,7,0,0,0.0
GER-Bundesliga,2223,Mainz 05,Finn Dahmen,GER,GK,24,1998,8,8,720,8.0,16,2.0,43,27,62.8,3,2,3,0,0.0,3,1,2,0,66.7
GER-Bundesliga,2223,Mainz 05,Robin Zentner,GER,GK,27,1994,26,26,2340,26.0,39,1.5,106,70,63.2,9,8,9,7,26.9,5,3,1,1,25.0
GER-Bundesliga,2223,RB Leipzig,Janis Blaswich,GER,GK,31,1991,26,26,2340,26.0,29,1.12,75,46,61.3,16,4,6,7,26.9,7,6,1,0,14.3
GER-Bundesliga,2223,RB Leipzig,Péter Gulácsi,HUN,GK,32,1990,6,6,540,6.0,10,1.67,27,17,63.0,2,2,2,2,33.3,1,1,0,0,0.0
GER-Bundesliga,2223,RB Leipzig,Ørjan Nyland,NOR,GK,31,1990,2,2,180,2.0,2,1.0,6,4,66.7,2,0,0,1,50.0,0,0,0,0,
GER-Bundesliga,2223,Schalke 04,Alexander Schwolow,GER,GK,30,1992,23,22,2035,22.6,58,2.57,138,80,58.0,4,4,14,2,9.1,4,4,0,0,0.0
GER-Bundesliga,2223,Schalke 04,Ralf Fährmann,GER,GK,33,1988,12,12,1025,11.4,13,1.14,56,43,76.8,3,6,3,5,41.7,2,1,0,1,0.0
GER-Bundesliga,2223,Stuttgart,Fabian Bredlow,GER,GK,27,1995,15,15,1350,15.0,23,1.53,61,38,62.3,4,5,6,1,6.7,5,5,0,0,0.0
GER-Bundesliga,2223,Stuttgart,Florian Müller,GER,GK,24,1997,19,19,1710,19.0,34,1.79,87,53,60.9,3,7,9,1,5.3,1,1,0,0,0.0
GER-Bundesliga,2223,Union Berlin,Frederik Rønnow,DEN,GK,29,1992,29,29,2610,29.0,27,0.93,121,94,77.7,16,7,6,11,37.9,5,5,0,0,0.0
GER-Bundesliga,2223,Union Berlin,Lennart Grill,GER,GK,23,1999,5,5,450,5.0,11,2.2,25,14,56.0,2,1,2,2,40.0,2,2,0,0,0.0
GER-Bundesliga,2223,Werder Bremen,Jiří Pavlenka,CZE,GK,30,1992,33,33,2908,32.3,61,1.89,172,111,64.5,10,5,18,4,12.1,3,2,1,0,33.3
GER-Bundesliga,2223,Werder Bremen,Michael Zetterer,GER,GK,27,1995,2,1,152,1.7,3,1.78,14,11,78.6,0,1,0,0,0.0,0,0,0,0,
GER-Bundesliga,2223,Wolfsburg,Koen Casteels,BEL,GK,30,1992,34,34,3060,34.0,48,1.41,149,101,67.8,13,10,11,12,35.3,7,4,1,2,20.0
GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31,31,2790,31.0,52,1.68,160,108,67.5,10,9,12,3,9.7,10,7,2,1,22.2
GER-Bundesliga,2324,Augsburg,Tomáš Koubek,CZE,GK,30,1992,3,3,270,3.0,8,2.67,25,17,68.0,0,0,3,0,0.0,0,0,0,0,
GER-Bundesliga,2324,Bayern Munich,Daniel Peretz,ISR,GK,23,2000,1,0,17,0.2,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
GER-Bundesliga,2324,Bayern Munich,Manuel Neuer,GER,GK,37,1986,23,23,2053,22.8,33,1.45,92,59,64.1,16,1,6,6,26.1,3,2,1,0,33.3
GER-Bundesliga,2324,Bayern Munich,Sven Ulreich,GER,GK,34,1988,11,11,990,11.0,12,1.09,31,19,61.3,7,2,2,4,36.4,1,1,0,0,0.0
GER-Bundesliga,2324,Bochum,Andreas Luthe,GER,GK,36,1987,1,1,90,1.0,4,4.0,5,1,20.0,0,0,1,0,0.0,0,0,0,0,
GER-Bundesliga,2324,Bochum,Manuel Riemann,GER,GK,34,1988,33,33,2970,33.0,70,2.12,185,115,62.2,7,12,14,4,12.1,11,9,2,0,18.2
GER-Bundesliga,2324,Darmstadt 98,Alexander Brunst,GER,GK,28,1995,3,3,270,3.0,10,3.33,17,7,41.2,0,1,2,0,0.0,0,0,0,0,
GER-Bundesliga,2324,Darmstadt 98,Marcel Schuhen,GER,GK,30,1993,31,31,2790,31.0,76,2.45,199,123,61.8,3,7,21,3,9.7,2,1,1,0,50.0
GER-Bundesliga,2324,Dortmund,Alexander Meyer,GER,GK,32,1991,8,7,695,7.7,9,1.17,28,19,67.9,4,1,2,3,42.9,0,0,0,0,
GER-Bundesliga,2324,Dortmund,Gregor Kobel,SUI,GK,25,1997,27,27,2365,26.3,34,1.29,118,84,71.2,14,8,5,7,25.9,6,5,1,0,16.7
GER-Bundesliga,2324,Frankfurt,Jens Grahl,GER,GK,34,1988,2,2,180,2.0,2,1.0,9,7,77.8,1,1,0,0,0.0,0,0,0,0,
GER-Bundesliga,2324,Frankfurt,Kevin Trapp,GER,GK,33,1990,32,32,2880,32.0,48,1.5,135,87,64.4,10,13,9,7,21.9,11,9,2,0,18.2
GER-Bundesliga,2324,Freiburg,Noah Atubolu,GER,GK,21,2002,34,34,3060,34.0,58,1.71,159,101,63.5,11,9,14,9,26.5,5,3,2,0,40.0
