league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
ITA-Serie A,2122,Torino,Vanja Milinković-Savić,SRB,GK,24,1997,27,27,2430,27.0,33,1.22,80,47,58.8,9,7,11,4,14.8,8,7,1,0,12.5
ITA-Serie A,2122,Udinese,Daniele Padelli,ITA,GK,35,1985,3,3,270,3.0,8,2.67,22,13,63.6,1,0,2,1,33.3,0,0,0,0,
ITA-Serie A,2122,Udinese,Marco Silvestri,ITA,GK,30,1991,35,35,3150,35.0,50,1.43,142,92,64.8,10,14,11,7,20.0,7,5,0,2,0.0
ITA-Serie A,2122,Venezia,Luca Lezzerini,ITA,GK,26,1995,6,6,495,5.5,9,1.64,39,30,76.9,2,1,3,0,0.0,0,0,0,0,
ITA-Serie A,2122,Venezia,Niki Mäenpää,FIN,GK,36,1985,17,16,1485,16.5,27,1.64,85,58,68.2,1,4,11,1,6.3,6,5,0,1,0.0
ITA-Serie A,2122,Venezia,Sergio Romero,ARG,GK,34,1987,16,16,1440,16.0,33,2.06,107,74,69.2,3,4,9,3,18.8,6,6,0,0,0.0
ITA-Serie A,2223,Atalanta,Francesco Rossi,ITA,GK,31,1991,1,0,4,0.0,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
ITA-Serie A,2223,Atalanta,Juan Musso,ARG,GK,28,1994,24,24,2077,23.1,27,1.17,91,64,70.3,13,4,7,8,33.3,2,2,0,0,0.0
ITA-Serie A,2223,Atalanta,Marco Sportiello,ITA,GK,30,1992,15,14,1339,14.9,21,1.41,64,43,67.2,6,3,5,2,14.3,1,1,0,0,0.0
ITA-Serie A,2223,Bologna,Francesco Bardi,ITA,GK,30,1992,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
ITA-Serie A,2223,Bologna,Łukasz Skorupski,POL,GK,31,1991,37,37,3330,37.0,49,1.32,154,113,68.2,13,12,12,7,18.9,9,7,2,0,22.2
ITA-Serie A,2223,Cremonese,Ionuț Radu,ROU,GK,25,1997,9,9,810,9.0,19,2.11,64,45,70.3,0,3,6,1,11.1,3,3,0,0,0.0
ITA-Serie A,2223,Cremonese,Marco Carnesecchi,ITA,GK,22,2000,27,27,2430,27.0,47,1.74,154,107,69.5,4,9,14,4,14.8,2,2,0,0,0.0
ITA-Serie A,2223,Cremonese,Mouhamadou Sarr,SEN,GK,25,1997,2,2,180,2.0,3,1.5,8,5,62.5,1,0,1,1,50.0,0,0,0,0,
