player_name,position,Age,market_value_eur,club,season
Kepa Arrizabalaga,Goalkeeper,30.0,10000000.0,Afc Bournemouth,2425
Mark Travers,Goalkeeper,26.0,4000000.0,Afc Bournemouth,2425
Neto,Goalkeeper,35.0,1500000.0,Afc Bournemouth,2425
Callan McKenna,Goalkeeper,18.0,600000.0,Afc Bournemouth,2425
Will Dennis,Goalkeeper,24.0,350000.0,Afc Bournemouth,2425
Dean Huijsen,Centre-Back,20.0,60000000.0,Afc Bournemouth,2425
Ilya Zabarnyi,Centre-Back,22.0,42000000.0,Afc Bournemouth,2425
Marcos Senesi,Centre-Back,28.0,22000000.0,Afc Bournemouth,2425
Chris Mepham,Centre-Back,27.0,6000000.0,Afc Bournemouth,2425
James Hill,Centre-Back,23.0,3000000.0,Afc Bournemouth,2425
Matai Akinmboni,Centre-Back,18.0,1000000.0,Afc Bournemouth,2425
Max Kinsey,Centre-Back,20.0,,Afc Bournemouth,2425
Milos Kerkez,Left-Back,21.0,45000000.0,Afc Bournemouth,2425
Julio Soler,Left-Back,20.0,8000000.0,Afc Bournemouth,2425
Archie Harris,Left-Back,20.0,100000.0,Afc Bournemouth,2425
Julián Araujo,Right-Back,23.0,10000000.0,Afc Bournemouth,2425
Max Aarons,Right-Back,25.0,6000000.0,Afc Bournemouth,2425
Adam Smith,Right-Back,34.0,750000.0,Afc Bournemouth,2425
Tyler Adams,Defensive Midfield,26.0,18000000.0,Afc Bournemouth,2425
Ben Winterburn,Defensive Midfield,20.0,500000.0,Afc Bournemouth,2425
Alex Scott,Central Midfield,21.0,20000000.0,Afc Bournemouth,2425
Lewis Cook,Central Midfield,28.0,15000000.0,Afc Bournemouth,2425
Philip Billing,Central Midfield,29.0,10000000.0,Afc Bournemouth,2425
Ryan Christie,Central Midfield,30.0,10000000.0,Afc Bournemouth,2425
Zain Silcott-Duberry,Left Midfield,19.0,200000.0,Afc Bournemouth,2425
Justin Kluivert,Attacking Midfield,26.0,35000000.0,Afc Bournemouth,2425
Marcus Tavernier,Attacking Midfield,26.0,18000000.0,Afc Bournemouth,2425
Hamed Traoré,Left Winger,25.0,20000000.0,Afc Bournemouth,2425
Luis Sinisterra,Left Winger,26.0,15000000.0,Afc Bournemouth,2425
Jaidon Anthony,Left Winger,25.0,9000000.0,Afc Bournemouth,2425
Antoine Semenyo,Right Winger,25.0,40000000.0,Afc Bournemouth,2425
Dango Ouattara,Right Winger,23.0,28000000.0,Afc Bournemouth,2425
David Brooks,Right Winger,27.0,10000000.0,Afc Bournemouth,2425
Dominic Sadi,Right Winger,21.0,150000.0,Afc Bournemouth,2425
Evanilson,Centre-Forward,25.0,35000000.0,Afc Bournemouth,2425
Enes Ünal,Centre-Forward,28.0,10000000.0,Afc Bournemouth,2425
Daniel Jebbison,Centre-Forward,21.0,4000000.0,Afc Bournemouth,2425
Remy Rees-Dottin,Centre-Forward,19.0,300000.0,Afc Bournemouth,2425
Daniel Adu-Adjei,Centre-Forward,20.0,150000.0,Afc Bournemouth,2425
David Raya,Goalkeeper,29.0,40000000.0,Arsenal Fc,2425
Aaron Ramsdale,Goalkeeper,27.0,16000000.0,Arsenal Fc,2425
Neto,Goalkeeper,35.0,1500000.0,Arsenal Fc,2425
Jack Porter,Goalkeeper,16.0,400000.0,Arsenal Fc,2425
Alexéi Rojas,Goalkeeper,19.0,250000.0,Arsenal Fc,2425
Tommy Setford,Goalkeeper,19.0,,Arsenal Fc,2425
William Saliba,Centre-Back,24.0,80000000.0,Arsenal Fc,2425
Gabriel,Centre-Back,27.0,75000000.0,Arsenal Fc,2425
Jakub Kiwior,Centre-Back,25.0,28000000.0,Arsenal Fc,2425
Takehiro Tomiyasu,Centre-Back,26.0,18000000.0,Arsenal Fc,2425
Ayden Heaven,Centre-Back,18.0,5000000.0,Arsenal Fc,2425
Zane Monlouis,Centre-Back,21.0,400000.0,Arsenal Fc,2425
Maldini Kacurri,Centre-Back,19.0,300000.0,Arsenal Fc,2425
Brayden Clarke,Centre-Back,17.0,,Arsenal Fc,2425
Riccardo Calafiori,Left-Back,23.0,35000000.0,Arsenal Fc,2425
Oleksandr Zinchenko,Left-Back,28.0,20000000.0,Arsenal Fc,2425
Kieran Tierney,Left-Back,28.0,9000000.0,Arsenal Fc,2425
Jurriën Timber,Right-Back,24.0,55000000.0,Arsenal Fc,2425
Ben White,Right-Back,27.0,45000000.0,Arsenal Fc,2425
Josh Robinson,Right-Back,20.0,,Arsenal Fc,2425
Josh Nichols,Right-Back,18.0,,Arsenal Fc,2425
Thomas Partey,Defensive Midfield,32.0,14000000.0,Arsenal Fc,2425
Jorginho,Defensive Midfield,33.0,6000000.0,Arsenal Fc,2425
Jack Henry-Francis,Defensive Midfield,21.0,200000.0,Arsenal Fc,2425
Declan Rice,Central Midfield,26.0,120000000.0,Arsenal Fc,2425
Myles Lewis-Skelly,Central Midfield,18.0,45000000.0,Arsenal Fc,2425
Mikel Merino,Central Midfield,29.0,35000000.0,Arsenal Fc,2425
Salah Oulad,Central Midfield,21.0,400000.0,Arsenal Fc,2425
Jimi Gower,Central Midfield,20.0,,Arsenal Fc,2425
Michał Rosiak,Right Midfield,19.0,,Arsenal Fc,2425
Martin Ødegaard,Attacking Midfield,26.0,85000000.0,Arsenal Fc,2425
Ethan Nwaneri,Attacking Midfield,18.0,55000000.0,Arsenal Fc,2425
Gabriel Martinelli,Left Winger,24.0,55000000.0,Arsenal Fc,2425
Leandro Trossard,Left Winger,30.0,22000000.0,Arsenal Fc,2425
Reiss Nelson,Left Winger,25.0,16000000.0,Arsenal Fc,2425
Bukayo Saka,Right Winger,23.0,150000000.0,Arsenal Fc,2425
Raheem Sterling,Right Winger,30.0,10000000.0,Arsenal Fc,2425
Ismeal Kabia,Right Winger,19.0,,Arsenal Fc,2425
Kai Havertz,Centre-Forward,26.0,65000000.0,Arsenal Fc,2425
Gabriel Jesus,Centre-Forward,28.0,32000000.0,Arsenal Fc,2425
Eddie Nketiah,Centre-Forward,26.0,18000000.0,Arsenal Fc,2425
Nathan Butler-Oyedeji,Centre-Forward,22.0,1000000.0,Arsenal Fc,2425
Emiliano Martínez,Goalkeeper,32.0,20000000.0,Aston Villa,2425
Joe Gauci,Goalkeeper,24.0,1500000.0,Aston Villa,2425
Robin Olsen,Goalkeeper,35.0,1000000.0,Aston Villa,2425
Oliwier Zych,Goalkeeper,21.0,800000.0,Aston Villa,2425
Sam Proctor,Goalkeeper,18.0,,Aston Villa,2425
Ezri Konsa,Centre-Back,27.0,35000000.0,Aston Villa,2425
Pau Torres,Centre-Back,28.0,32000000.0,Aston Villa,2425
Axel Disasi,Centre-Back,27.0,22000000.0,Aston Villa,2425
Diego Carlos,Centre-Back,32.0,9500000.0,Aston Villa,2425
Tyrone Mings,Centre-Back,32.0,5000000.0,Aston Villa,2425
Kortney Hause,Centre-Back,29.0,1000000.0,Aston Villa,2425
Sil Swinkels,Centre-Back,21.0,150000.0,Aston Villa,2425
Ian Maatsen,Left-Back,23.0,28000000.0,Aston Villa,2425
Lucas Digne,Left-Back,31.0,10000000.0,Aston Villa,2425
Travis Patterson,Left-Back,19.0,,Aston Villa,2425
Matty Cash,Right-Back,27.0,25000000.0,Aston Villa,2425
Kosta Nedeljkovic,Right-Back,19.0,10000000.0,Aston Villa,2425
Andrés García,Right-Back,22.0,7000000.0,Aston Villa,2425
Triston Rowe,Right-Back,18.0,,Aston Villa,2425
Amadou Onana,Defensive Midfield,23.0,50000000.0,Aston Villa,2425
Boubacar Kamara,Defensive Midfield,25.0,40000000.0,Aston Villa,2425
Lamare Bogarde,Defensive Midfield,21.0,6000000.0,Aston Villa,2425
Youri Tielemans,Central Midfield,28.0,38000000.0,Aston Villa,2425
Jacob Ramsey,Central Midfield,24.0,32000000.0,Aston Villa,2425
John McGinn,Central Midfield,30.0,16000000.0,Aston Villa,2425
Ross Barkley,Central Midfield,31.0,6000000.0,Aston Villa,2425
Aidan Borland,Central Midfield,18.0,,Aston Villa,2425
Morgan Rogers,Attacking Midfield,22.0,55000000.0,Aston Villa,2425
Marco Asensio,Attacking Midfield,29.0,20000000.0,Aston Villa,2425
Jamaldeen Jimoh-Aloba,Attacking Midfield,18.0,300000.0,Aston Villa,2425
Marcus Rashford,Left Winger,27.0,50000000.0,Aston Villa,2425
Jaden Philogene,Left Winger,23.0,16000000.0,Aston Villa,2425
Emiliano Buendía,Left Winger,28.0,15000000.0,Aston Villa,2425
Kadan Young,Left Winger,19.0,300000.0,Aston Villa,2425
Ben Broggio,Left Winger,18.0,,Aston Villa,2425
Leon Bailey,Right Winger,27.0,28000000.0,Aston Villa,2425
Bradley Burrowes,Right Winger,17.0,,Aston Villa,2425
Ollie Watkins,Centre-Forward,29.0,40000000.0,Aston Villa,2425
Jhon Durán,Centre-Forward,21.0,35000000.0,Aston Villa,2425
Donyell Malen,Centre-Forward,26.0,25000000.0,Aston Villa,2425
Kobei Moore,Centre-Forward,20.0,,Aston Villa,2425
Mark Flekken,Goalkeeper,32.0,10000000.0,Brentford Fc,2425
Hákon Valdimarsson,Goalkeeper,23.0,2500000.0,Brentford Fc,2425
Matthew Cox,Goalkeeper,22.0,800000.0,Brentford Fc,2425
Ben Winterbottom,Goalkeeper,23.0,,Brentford Fc,2425
Julian Eyestone,Goalkeeper,19.0,,Brentford Fc,2425
Nathan Collins,Centre-Back,24.0,28000000.0,Brentford Fc,2425
Sepp van den Berg,Centre-Back,23.0,22000000.0,Brentford Fc,2425
Kristoffer Ajer,Centre-Back,27.0,18000000.0,Brentford Fc,2425
Ethan Pinnock,Centre-Back,32.0,7000000.0,Brentford Fc,2425
Ben Mee,Centre-Back,35.0,700000.0,Brentford Fc,2425
