player_name,position,Age,market_value_eur,club,season
Ethan Pinnock,Centre-Back,33.0,3000000.0,Brentford Fc,2526
Rico Henry,Left-Back,28.0,13000000.0,Brentford Fc,2526
Jayden Meghoma,Left-Back,19.0,2000000.0,Brentford Fc,2526
Michael Kayode,Right-Back,21.0,40000000.0,Brentford Fc,2526
Aaron Hickey,Right-Back,24.0,16000000.0,Brentford Fc,2526
Vitaly Janelt,Defensive Midfield,28.0,16000000.0,Brentford Fc,2526
Yunus Konak,Defensive Midfield,20.0,3500000.0,Brentford Fc,2526
Jordan Henderson,Defensive Midfield,36.0,1200000.0,Brentford Fc,2526
Yegor Yarmolyuk,Central Midfield,22.0,32000000.0,Brentford Fc,2526
Mathias Jensen,Central Midfield,30.0,10000000.0,Brentford Fc,2526
Frank Onyeka,Central Midfield,28.0,8000000.0,Brentford Fc,2526
Josh Dasilva,Central Midfield,27.0,1500000.0,Brentford Fc,2526
Ryan Trevitt,Central Midfield,23.0,275000.0,Brentford Fc,2526
Keane Lewis-Potter Left Midfield,,25.0,25000000.0,Brentford Fc,2526
Mikkel Damsgaard,Attacking Midfield,25.0,30000000.0,Brentford Fc,2526
Antoni Milambo,Attacking Midfield,21.0,15000000.0,Brentford Fc,2526
Fábio Carvalho,Attacking Midfield,23.0,8000000.0,Brentford Fc,2526
Kevin Schade,Left Winger,24.0,35000000.0,Brentford Fc,2526
Reiss Nelson,Left Winger,26.0,8000000.0,Brentford Fc,2526
Dango Ouattara,Right Winger,24.0,35000000.0,Brentford Fc,2526
Romelle Donovan,Right Winger,19.0,3500000.0,Brentford Fc,2526
Igor Thiago,Centre-Forward,25.0,65000000.0,Brentford Fc,2526
Kaye Furo,Centre-Forward,19.0,8000000.0,Brentford Fc,2526
Bart Verbruggen,Goalkeeper,23.0,40000000.0,Brighton And Hove Albion,2526
Carl Rushworth,Goalkeeper,24.0,16000000.0,Brighton And Hove Albion,2526
James Beadle,Goalkeeper,21.0,6000000.0,Brighton And Hove Albion,2526
Jason Steele,Goalkeeper,35.0,500000.0,Brighton And Hove Albion,2526
Tom McGill,Goalkeeper,26.0,500000.0,Brighton And Hove Albion,2526
Jan Paul van Hecke,Centre-Back,26.0,45000000.0,Brighton And Hove Albion,2526
Olivier Boscagli,Centre-Back,28.0,15000000.0,Brighton And Hove Albion,2526
Igor Julio,Centre-Back,28.0,10000000.0,Brighton And Hove Albion,2526
Eiran Cashin,Centre-Back,24.0,5000000.0,Brighton And Hove Albion,2526
Lewis Dunk,Centre-Back,34.0,3500000.0,Brighton And Hove Albion,2526
Adam Webster,Centre-Back,31.0,3000000.0,Brighton And Hove Albion,2526
Ferdi Kadıoğlu,Left-Back,26.0,35000000.0,Brighton And Hove Albion,2526
Maxim De Cuyper,Left-Back,25.0,22000000.0,Brighton And Hove Albion,2526
Mats Wieffer,Right-Back,26.0,25000000.0,Brighton And Hove Albion,2526
Joël Veltman,Right-Back,34.0,1500000.0,Brighton And Hove Albion,2526
Carlos Baleba,Defensive Midfield,22.0,55000000.0,Brighton And Hove Albion,2526
Jack Hinshelwood,Defensive Midfield,21.0,28000000.0,Brighton And Hove Albion,2526
Yasin Ayari,Central Midfield,22.0,35000000.0,Brighton And Hove Albion,2526
Diego Gómez,Central Midfield,23.0,25000000.0,Brighton And Hove Albion,2526
Matt O'Riley,Central Midfield,25.0,18000000.0,Brighton And Hove Albion,2526
Malick Yalcouyé,Central Midfield,20.0,12000000.0,Brighton And Hove Albion,2526
Pascal Groß,Central Midfield,35.0,2500000.0,Brighton And Hove Albion,2526
James Milner,Central Midfield,40.0,500000.0,Brighton And Hove Albion,2526
Kaoru Mitoma,Left Winger,29.0,22000000.0,Brighton And Hove Albion,2526
Ibrahim Osman,Left Winger,21.0,7000000.0,Brighton And Hove Albion,2526
Tom Watson,Left Winger,20.0,7000000.0,Brighton And Hove Albion,2526
Yankuba Minteh,Right Winger,21.0,45000000.0,Brighton And Hove Albion,2526
Amario Cozier-Duberry,Right Winger,21.0,5000000.0,Brighton And Hove Albion,2526
Solly March,Right Winger,31.0,1000000.0,Brighton And Hove Albion,2526
