league,season,team,player,nation,pos,age,born,matches_played,starts,minutes,nineties,goals,assists,goal_contributions,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,goals_per90,assists_per90,ga_per90,npg_per90,npga_per90
ENG-Premier League,2122,Arsenal,Aaron Ramsdale,ENG,GK,23.0,1998.0,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Ainsley Maitland-Niles,ENG,MF,23.0,1997.0,8,2,268,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Albert Sambi Lokonga,BEL,MF,21.0,1999.0,19,12,1134,12.6,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Alexandre Lacazette,FRA,"FW,MF",30.0,1991.0,30,20,1782,19.8,4,7,11,2,2,3,0,0,0.2,0.35,0.56,0.1,0.45
ENG-Premier League,2122,Arsenal,Ben White,ENG,DF,23.0,1997.0,32,32,2880,32.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Bernd Leno,GER,GK,29.0,1992.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Bukayo Saka,ENG,"MF,FW",19.0,2001.0,38,36,2978,33.1,11,7,18,9,2,2,6,0,0.33,0.21,0.54,0.27,0.48
ENG-Premier League,2122,Arsenal,Calum Chambers,ENG,DF,26.0,1995.0,2,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Cédric Soares,POR,DF,29.0,1991.0,21,16,1486,16.5,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12
ENG-Premier League,2122,Arsenal,Eddie Nketiah,ENG,FW,22.0,1999.0,21,8,835,9.3,5,1,6,5,0,0,3,0,0.54,0.11,0.65,0.54,0.65
ENG-Premier League,2122,Arsenal,Emile Smith Rowe,ENG,MF,21.0,2000.0,33,21,1921,21.3,10,2,12,10,0,0,1,0,0.47,0.09,0.56,0.47,0.56
ENG-Premier League,2122,Arsenal,Folarin Balogun,USA,FW,20.0,2001.0,2,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Gabriel Magalhães,BRA,DF,23.0,1997.0,35,35,3063,34.0,5,0,5,5,0,0,8,1,0.15,0.0,0.15,0.15,0.15
ENG-Premier League,2122,Arsenal,Gabriel Martinelli,BRA,"MF,FW",20.0,2001.0,29,21,1860,20.7,6,6,12,5,1,1,3,1,0.29,0.29,0.58,0.24,0.53
ENG-Premier League,2122,Arsenal,Granit Xhaka,SUI,MF,28.0,1992.0,27,27,2327,25.9,1,2,3,1,0,0,10,1,0.04,0.08,0.12,0.04,0.12
ENG-Premier League,2122,Arsenal,Kieran Tierney,SCO,DF,24.0,1997.0,22,22,1915,21.3,1,3,4,1,0,0,0,0,0.05,0.14,0.19,0.05,0.19
ENG-Premier League,2122,Arsenal,Martin Ødegaard,NOR,MF,22.0,1998.0,36,32,2785,30.9,7,4,11,7,0,0,4,0,0.23,0.13,0.36,0.23,0.36
ENG-Premier League,2122,Arsenal,Mohamed Elneny,EGY,MF,29.0,1992.0,14,8,806,9.0,0,2,2,0,0,0,1,0,0.0,0.22,0.22,0.0,0.22
ENG-Premier League,2122,Arsenal,Nicolas Pépé,CIV,MF,26.0,1995.0,20,5,696,7.7,1,2,3,1,0,0,0,0,0.13,0.26,0.39,0.13,0.39
ENG-Premier League,2122,Arsenal,Nuno Tavares,POR,DF,21.0,2000.0,22,13,1176,13.1,1,1,2,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15
ENG-Premier League,2122,Arsenal,Pablo Marí,ESP,DF,27.0,1993.0,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,32.0,1989.0,14,12,1037,11.5,4,1,5,4,0,2,3,0,0.35,0.09,0.43,0.35,0.43
ENG-Premier League,2122,Arsenal,Reiss Nelson,ENG,"FW,MF",21.0,1999.0,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Rob Holding,ENG,DF,25.0,1995.0,15,9,845,9.4,1,0,1,1,0,0,4,1,0.11,0.0,0.11,0.11,0.11
ENG-Premier League,2122,Arsenal,Sead Kolašinac,BIH,DF,28.0,1993.0,2,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Arsenal,Takehiro Tomiyasu,JPN,DF,22.0,1998.0,21,20,1679,18.7,0,1,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05
